Make,Model,Vehicle Class,Engine Size(L),Cylinders,Transmission,Fuel Type,acceleration,weight,horsepower,displacement,Fuel Consumption Comb (L/100 km),CO2 Emissions(g/km)
BMW,320i,COMPACT,2.0,4,A8,Z,12.8,2600,110,121.0,8.4,193
BUICK,REGAL,MID-SIZE,2.0,4,AS6,Z,13.4,3445,165,231.0,9.9,228
CHEVROLET,CAMARO,COMPACT,3.6,6,M6,X,17.3,2950,90,151.0,11.7,269
CHEVROLET,IMPALA,FULL-SIZE,2.5,4,AS6,X,9.0,4354,220,454.0,9.6,221
CHEVROLET,IMPALA,FULL-SIZE,3.6,6,AS6,X,12.0,4209,165,350.0,10.6,244
CHEVROLET,IMPALA,FULL-SIZE,3.6,6,AS6,E,12.0,4274,165,350.0,14.3,229
CHEVROLET,MALIBU,MID-SIZE,2.0,4,AS6,Z,12.0,3504,130,307.0,9.9,228
CHEVROLET,MALIBU,MID-SIZE,2.5,4,AS6,X,15.5,3329,100,250.0,8.0,184
DODGE,CHALLENGER,MID-SIZE,3.6,6,A5,X,10.0,3563,170,383.0,11.2,258
DODGE,CHARGER,FULL-SIZE,3.6,6,A8,X,13.0,2370,84,135.0,10.3,237
DODGE,DART,MID-SIZE,2.0,4,M6,X,11.0,3399,150,318.0,8.1,186
DODGE,DART,MID-SIZE,2.4,4,A6,X,11.0,3399,150,318.0,8.6,198
DODGE,DART,MID-SIZE,2.4,4,M6,X,11.0,3399,150,318.0,8.8,202
FORD,FIESTA,SUBCOMPACT,1.6,4,AS6,X,14.4,1800,66,98.0,7.6,175
FORD,MUSTANG,SUBCOMPACT,3.7,6,A6,X,14.5,3139,88,250.0,10.2,235
FORD,MUSTANG,SUBCOMPACT,3.7,6,M6,X,12.0,3169,129,302.0,10.6,244
FORD,MUSTANG,SUBCOMPACT,5.0,8,A6,X,15.8,2755,89,140.0,11.5,264
FORD,MUSTANG,SUBCOMPACT,5.0,8,M6,X,14.3,2905,87,140.0,12.7,292
FORD,MUSTANG,SUBCOMPACT,5.8,8,M6,Z,15.6,2790,86,140.0,13.2,304
HONDA,ACCORD,MID-SIZE,2.4,4,AV7,X,18.5,2045,68,98.0,8.1,186
HONDA,ACCORD,MID-SIZE,2.4,4,M6,X,16.6,2135,68,98.0,8.7,200
HONDA,ACCORD,MID-SIZE,3.5,6,A6,X,17.0,2290,72,107.0,9.1,209
HONDA,ACCORD,MID-SIZE,3.5,6,AS6,X,14.5,2205,75,107.0,9.6,221
HONDA,ACCORD,MID-SIZE,3.5,6,M6,X,14.5,2205,75,107.0,10.9,251
HONDA,CIVIC,COMPACT,1.8,4,AV,X,15.0,2489,97,120.0,7.0,161
HONDA,CIVIC,COMPACT,1.8,4,AV7,X,17.5,1795,53,91.0,7.2,166
HONDA,CIVIC,COMPACT,1.8,4,AV7,X,13.8,1850,67,91.0,7.2,166
HONDA,CIVIC,COMPACT,1.8,4,AV7,X,16.1,1760,60,81.0,7.2,166
HONDA,CIVIC,COMPACT,1.8,4,M5,X,15.7,1965,67,91.0,7.6,175
NISSAN,MAXIMA,MID-SIZE,3.5,6,AV,Z,13.8,2930,120,146.0,10.9,251
SCION,tC,COMPACT,2.5,4,AS6,X,14.9,2150,70,105.0,9.0,207
TOYOTA,COROLLA,MID-SIZE,1.8,4,A4,X,19.0,1773,65,71.0,7.7,177
TOYOTA,COROLLA,MID-SIZE,1.8,4,AV7,X,16.5,2100,88,97.0,7.3,168
TOYOTA,COROLLA,MID-SIZE,1.8,4,AV,X,21.0,1836,65,71.0,7.1,163
TOYOTA,COROLLA,MID-SIZE,1.8,4,M6,X,16.0,2171,75,97.0,7.4,170
TOYOTA,COROLLA,MID-SIZE,1.8,4,M6,X,16.4,2155,75,97.0,7.4,170
TOYOTA,COROLLA,MID-SIZE,1.8,4,M6,X,18.2,2265,75,97.0,7.4,170
TOYOTA,COROLLA,MID-SIZE,1.8,4,M6,X,15.2,2265,75,108.0,7.4,170
TOYOTA,COROLLA,MID-SIZE,1.8,4,M6,X,16.8,2350,75,108.0,7.4,170
TOYOTA,COROLLA,MID-SIZE,1.8,4,M6,X,16.9,2245,70,108.0,7.4,170
VOLKSWAGEN,BEETLE,COMPACT,1.8,4,A6,X,21.0,1950,46,97.0,8.5,196
VOLKSWAGEN,BEETLE,COMPACT,1.8,4,M5,X,21.0,1950,46,97.0,8.7,200
VOLKSWAGEN,BEETLE,COMPACT,2.0,4,A6,Z,21.0,1950,46,97.0,9.1,209
VOLKSWAGEN,BEETLE,COMPACT,2.0,4,M6,Z,21.0,1950,46,97.0,9.4,216
VOLKSWAGEN,BEETLE,COMPACT,2.5,5,A6,X,21.0,1950,46,97.0,9.8,225
VOLKSWAGEN,BEETLE,COMPACT,2.5,5,M5,X,21.0,1950,46,97.0,9.6,221
VOLKSWAGEN,CC,COMPACT,2.0,4,A6,Z,14.9,1990,71,89.0,9.7,223
VOLKSWAGEN,CC,COMPACT,2.0,4,M6,Z,14.9,1990,71,89.0,9.8,225
VOLKSWAGEN,JETTA,COMPACT,1.8,4,A6,X,14.2,2190,74,105.0,8.2,189
VOLKSWAGEN,JETTA,COMPACT,1.8,4,M5,X,14.2,2190,74,105.0,8.2,189
VOLKSWAGEN,JETTA,COMPACT,2.0,4,A6,X,14.2,2190,74,105.0,9.4,216
VOLKSWAGEN,JETTA,COMPACT,2.0,4,M5,X,14.2,2190,74,105.0,9.0,207
BUICK,REGAL,MID-SIZE,2.0,4,AS6,Z,13.4,3445,165,231.0,9.8,225
BUICK,REGAL,MID-SIZE,2.0,4,M6,Z,13.4,3445,165,231.0,9.8,225
CHEVROLET,CAMARO,COMPACT,3.6,6,AS6,X,17.3,2950,90,151.0,11.3,260
CHEVROLET,CAMARO,COMPACT,3.6,6,M6,X,17.3,2950,90,151.0,11.5,265
CHEVROLET,CAMARO,COMPACT,6.2,8,AS6,Z,17.3,2950,90,151.0,12.8,294
CHEVROLET,CAMARO,COMPACT,6.2,8,M6,Z,17.3,2950,90,151.0,12.7,292
DODGE,CHALLENGER,MID-SIZE,3.6,6,A8,X,10.0,3563,170,383.0,10.3,237
DODGE,CHALLENGER,MID-SIZE,5.7,8,M6,X,10.0,3563,170,383.0,13.1,301
DODGE,CHALLENGER,MID-SIZE,6.4,8,M6,Z,10.0,3563,170,383.0,13.9,320
DODGE,CHARGER,FULL-SIZE,3.6,6,A5,X,13.0,2370,84,135.0,11.5,264
DODGE,CHARGER,FULL-SIZE,3.6,6,A8,X,13.0,2370,84,135.0,10.3,237
DODGE,DART,MID-SIZE,2.0,4,M6,X,11.0,3399,150,318.0,8.1,186
DODGE,DART,MID-SIZE,2.4,4,A6,X,11.0,3399,150,318.0,8.6,198
DODGE,DART,MID-SIZE,2.4,4,M6,X,11.0,3399,150,318.0,8.8,202
FORD,FIESTA,SUBCOMPACT,1.6,4,M5,X,14.4,1800,66,98.0,7.6,175
HONDA,ACCORD,MID-SIZE,2.4,4,AV,X,14.5,2205,75,107.0,7.8,179
HONDA,ACCORD,MID-SIZE,2.4,4,AV7,X,14.5,2205,75,107.0,8.0,184
HONDA,ACCORD,MID-SIZE,2.4,4,M6,X,14.5,2205,75,107.0,8.7,200
HONDA,ACCORD,MID-SIZE,3.5,6,A6,X,18.5,2045,68,98.0,9.1,209
HONDA,ACCORD,MID-SIZE,3.5,6,AS6,X,14.5,2205,75,107.0,9.5,219
HONDA,ACCORD,MID-SIZE,3.5,6,M6,X,14.5,2205,75,107.0,10.9,251
HONDA,CIVIC,COMPACT,1.8,4,AV,X,15.7,1965,67,91.0,7.1,163
HONDA,CIVIC,COMPACT,1.8,4,AV7,X,15.7,1965,67,91.0,7.2,166
HONDA,CIVIC,COMPACT,1.8,4,M5,X,15.0,2489,97,120.0,7.7,177
SCION,tC,COMPACT,2.5,4,AS6,X,14.0,2246,75,116.0,9.0,207
TOYOTA,COROLLA,MID-SIZE,1.8,4,AV7,X,21.0,1836,65,71.0,7.1,163
TOYOTA,COROLLA,MID-SIZE,1.8,4,AV,X,18.2,2265,75,97.0,7.3,168
TOYOTA,COROLLA,MID-SIZE,1.8,4,AV,X,18.8,1968,60,89.0,7.3,168
VOLKSWAGEN,BEETLE,COMPACT,2.0,4,M6,Z,21.0,1950,46,97.0,9.2,212
VOLKSWAGEN,CC,COMPACT,2.0,4,M6,Z,14.9,1990,71,89.0,9.6,221
VOLKSWAGEN,JETTA,COMPACT,1.8,4,M5,X,14.2,2190,74,105.0,8.0,184
BMW,320i,COMPACT,2.0,4,AS8,Z,12.8,2600,110,121.0,8.4,197
BUICK,REGAL,MID-SIZE,2.0,4,M6,Z,13.4,3445,165,231.0,9.8,230
CADILLAC,ATS,COMPACT,2.0,4,AS8,Z,17.0,2545,97,119.0,9.2,215
CADILLAC,ATS,COMPACT,2.0,4,M6,Z,14.5,2130,88,97.0,10.3,240
CADILLAC,ATS,COMPACT,2.0,4,M6,Z,11.4,2910,132,168.0,10.3,240
CADILLAC,ATS,COMPACT,2.5,4,AS8,X,14.5,2130,88,97.0,9.1,214
CADILLAC,ATS,COMPACT,2.5,4,AS8,X,19.2,2110,65,85.0,9.1,214
CADILLAC,ATS,COMPACT,3.6,6,AS8,X,16.5,2379,94,108.0,9.9,233
CADILLAC,ATS,COMPACT,3.6,6,AS8,X,14.8,2615,100,119.0,9.9,233
CHEVROLET,CAMARO,COMPACT,3.6,6,M6,X,17.3,2950,90,151.0,11.2,261
CHRYSLER,300,FULL-SIZE,3.6,6,A8,X,20.1,3530,77,183.0,10.3,240
DODGE,CHALLENGER,MID-SIZE,3.6,6,A8,X,10.0,3563,170,383.0,10.3,242
DODGE,CHALLENGER,MID-SIZE,5.7,8,M6,X,10.0,3563,170,383.0,13.1,307
DODGE,CHALLENGER,MID-SIZE,6.4,8,M6,Z,10.0,3563,170,383.0,13.9,326
DODGE,CHARGER,FULL-SIZE,3.6,6,A5,X,13.0,2370,84,135.0,11.5,271
DODGE,CHARGER,FULL-SIZE,3.6,6,A8,X,13.0,2370,84,135.0,10.3,240
DODGE,DART,MID-SIZE,2.0,4,M6,X,11.0,3399,150,318.0,8.1,189
DODGE,DART,MID-SIZE,2.4,4,A6,X,11.0,3399,150,318.0,8.6,202
DODGE,DART,MID-SIZE,2.4,4,M6,X,11.0,3399,150,318.0,8.8,205
FORD,MUSTANG,SUBCOMPACT,5.0,8,M6,X,15.6,2790,86,140.0,12.7,298
HONDA,ACCORD,MID-SIZE,2.4,4,M6,X,18.5,2045,68,98.0,8.9,207
HONDA,ACCORD,MID-SIZE,2.4,4,M6,X,16.6,2135,68,98.0,8.9,207
HONDA,ACCORD,MID-SIZE,2.4,4,M6,X,17.0,2290,72,107.0,8.9,207
HONDA,ACCORD,MID-SIZE,2.4,4,M6,X,14.5,2205,75,107.0,8.9,207
NISSAN,MAXIMA,MID-SIZE,3.5,6,AV7,Z,13.8,2930,120,146.0,9.5,223
SCION,iM,MID-SIZE,1.8,4,AV7,X,16.0,2670,90,151.0,7.4,173
SCION,iM,MID-SIZE,1.8,4,AV7,X,13.8,2930,120,146.0,7.4,173
SCION,iM,MID-SIZE,1.8,4,AV7,X,16.4,2945,110,181.0,7.4,173
SCION,tC,COMPACT,2.5,4,AS6,X,15.0,2434,92,119.0,9.0,211
SCION,tC,COMPACT,2.5,4,AS6,X,16.2,2575,85,112.0,9.0,211
FIAT,tC,COMPACT,2.5,4,M6,X,14.0,2246,75,116.0,9.0,210
TOYOTA,COROLLA,MID-SIZE,1.8,4,A4,X,16.8,2350,75,108.0,7.6,179
TOYOTA,COROLLA,MID-SIZE,1.8,4,AV,X,16.8,2350,75,108.0,7.3,171
TOYOTA,COROLLA,MID-SIZE,1.8,4,AV7,X,16.8,2350,75,108.0,7.1,166
TOYOTA,COROLLA,MID-SIZE,1.8,4,M6,X,16.8,2350,75,108.0,7.5,174
TOYOTA,COROLLA,MID-SIZE,1.8,4,M6,X,16.9,2245,70,108.0,7.5,174
VOLKSWAGEN,BEETLE,COMPACT,1.8,4,AS6,X,21.0,1950,46,97.0,8.4,196
VOLKSWAGEN,BEETLE,COMPACT,1.8,4,M5,X,21.0,1950,46,97.0,8.4,196
VOLKSWAGEN,CC,COMPACT,2.0,4,AM6,Z,17.5,1795,53,91.0,9.3,217
VOLKSWAGEN,JETTA,COMPACT,1.4,4,AS6,X,14.2,2190,74,105.0,7.3,173
VOLKSWAGEN,JETTA,COMPACT,1.4,4,M5,X,14.2,2190,74,105.0,7.2,168
VOLKSWAGEN,JETTA,COMPACT,1.8,4,AS6,X,14.2,2190,74,105.0,8.0,186
VOLKSWAGEN,JETTA,COMPACT,1.8,4,M5,X,14.2,2190,74,105.0,8.1,189
VOLKSWAGEN,JETTA,COMPACT,2.0,4,AM6,X,14.2,2190,74,105.0,8.6,201
VOLKSWAGEN,JETTA,COMPACT,2.0,4,M6,X,14.2,2190,74,105.0,8.8,207
BMW,320i,COMPACT,2.0,4,AS8,Z,12.8,2600,110,121.0,8.4,200
BMW,320i,COMPACT,2.0,4,M6,Z,12.8,2600,110,121.0,8.6,202
BUICK,REGAL,MID-SIZE,2.0,4,AS6,Z,13.4,3445,165,231.0,9.9,233
CADILLAC,ATS,COMPACT,2.0,4,AS8,Z,17.0,2545,97,119.0,9.3,217
CADILLAC,ATS,COMPACT,2.0,4,M6,Z,14.5,2815,97,146.0,10.1,236
CHEVROLET,CAMARO,SUBCOMPACT,2.0,4,AS8,Z,17.3,2950,90,151.0,9.5,222
CHEVROLET,CAMARO,SUBCOMPACT,2.0,4,M6,Z,17.3,2950,90,151.0,10.1,236
CHEVROLET,CAMARO,SUBCOMPACT,3.6,6,AS8,X,17.3,2950,90,151.0,10.6,249
CHEVROLET,CAMARO,SUBCOMPACT,3.6,6,M6,X,17.3,2950,90,151.0,11.7,274
HONDA,300,FULL-SIZE,3.6,6,A8,X,16.1,1760,60,81.0,10.3,242
DODGE,CHALLENGER,MID-SIZE,3.6,6,A8,X,10.0,2563,170,283.0,10.3,242
DODGE,CHALLENGER,MID-SIZE,6.4,8,M6,Z,12.8,3563,170,383.0,13.9,325
DODGE,CHARGER,FULL-SIZE,3.6,6,A5,X,13.0,2570,84,135.0,11.6,271
DODGE,CHARGER,FULL-SIZE,3.6,6,A8,X,13.0,2370,84,135.0,10.3,242
BUICK,REGAL,FULL-SIZE,2.0,4,AS9,Z,13.4,3445,165,231.0,9.2,217
CADILLAC,ATS,COMPACT,2.0,4,AS8,Z,16.8,1945,70,85.0,9.2,216
CADILLAC,ATS,COMPACT,2.0,4,AS8,Z,14.9,2405,97,119.0,9.2,216
CADILLAC,ATS,COMPACT,2.0,4,M6,Z,11.4,2910,132,168.0,10.3,240
CADILLAC,ATS,COMPACT,2.0,4,M6,Z,19.4,1975,65,85.0,10.3,240
CADILLAC,ATS,COMPACT,2.0,4,M6,Z,13.8,2930,120,146.0,10.3,240
CHEVROLET,CAMARO,SUBCOMPACT,2.0,4,M6,Z,17.3,2950,90,151.0,10.1,235
CHEVROLET,CAMARO,SUBCOMPACT,3.6,6,AS8,X,17.3,2950,90,151.0,10.4,246
CHEVROLET,CAMARO,SUBCOMPACT,3.6,6,M6,X,17.3,2950,90,151.0,11.7,274
FIAT,500,MINICOMPACT,1.4,4,A6,X,15.5,3302,88,250.0,8.7,202
FIAT,500,MINICOMPACT,1.4,4,M5,X,15.9,2830,103,131.0,7.8,182
FIAT,500,MINICOMPACT,1.4,4,M5,X,19.9,2950,67,121.0,7.8,182
FIAT,500,MINICOMPACT,1.4,4,M5,X,13.8,1850,67,91.0,7.8,182
FORD,GT,TWO-SEATER,3.5,6,AM7,Z,14.8,2515,95,134.0,17.1,403
FORD,GT,TWO-SEATER,3.5,6,AM7,Z,13.9,2665,96,144.0,17.1,403
HONDA,1500,PICKUP TRUCK - STANDARD,5.7,8,A6,X,13.8,1850,67,91.0,14.8,346
HONDA,1500,PICKUP TRUCK - STANDARD,5.7,8,A8,X,13.8,1850,67,91.0,13.6,319
TOYOTA,COROLLA,MID-SIZE,1.8,4,AV7,X,15.2,2265,75,108.0,7.5,178
TOYOTA,COROLLA,MID-SIZE,1.8,4,M6,X,16.8,2350,75,108.0,7.6,178
VOLKSWAGEN,BEETLE,COMPACT,2.0,4,AS6,X,21.0,1950,46,97.0,8.2,191
BUICK,Regal,MID-SIZE,2.0,4,AS9,Z,13.4,3445,165,231.0,9.1,214
CHEVROLET,Camaro,SUBCOMPACT,2.0,4,AS8,Z,17.3,2950,90,151.0,9.4,220
CHEVROLET,Camaro,SUBCOMPACT,2.0,4,M6,Z,17.3,2950,90,151.0,10.1,235
CHEVROLET,Camaro,SUBCOMPACT,3.6,6,AS8,X,17.3,2950,90,151.0,10.4,246
CHEVROLET,Camaro,SUBCOMPACT,3.6,6,M6,X,17.3,2950,90,151.0,11.8,277
CHEVROLET,Impala,FULL-SIZE,2.5,4,AS6,X,9.0,4354,220,454.0,9.6,225
CHEVROLET,Impala,FULL-SIZE,2.5,4,AS6,X,12.0,4209,165,350.0,9.6,225
CHEVROLET,Impala,FULL-SIZE,2.5,4,AS6,X,12.0,4274,165,350.0,9.6,225
CHEVROLET,Impala,FULL-SIZE,2.5,4,AS6,X,14.0,4997,150,400.0,9.6,225
CHEVROLET,Impala,FULL-SIZE,3.6,6,AS6,X,9.0,4354,220,454.0,10.8,254
CHEVROLET,Impala,FULL-SIZE,3.6,6,AS6,X,12.0,4209,165,350.0,10.8,254
CHEVROLET,Impala,FULL-SIZE,3.6,6,AS6,X,12.0,4274,165,350.0,10.8,254
CHEVROLET,Impala,FULL-SIZE,3.6,6,AS6,X,14.0,4997,150,400.0,10.8,254
CHEVROLET,Impala,FULL-SIZE,3.6,6,AS6,E,9.0,4354,220,454.0,14.6,245
CHEVROLET,Impala,FULL-SIZE,3.6,6,AS6,E,12.0,4209,165,350.0,14.6,245
CHEVROLET,Impala,FULL-SIZE,3.6,6,AS6,E,12.0,4274,165,350.0,14.6,245
CHEVROLET,Impala,FULL-SIZE,3.6,6,AS6,E,14.0,4997,150,400.0,14.6,345
CHEVROLET,Malibu,MID-SIZE,1.5,4,AV,X,12.0,3504,130,307.0,7.5,174
CHEVROLET,Malibu,MID-SIZE,1.5,4,AV,X,15.5,3329,100,250.0,7.5,174
CHEVROLET,Malibu,MID-SIZE,1.5,4,AV,X,13.0,3988,145,350.0,7.5,174
CHEVROLET,Malibu,MID-SIZE,1.5,4,AV,X,17.0,3781,100,250.0,7.5,174
CHEVROLET,Malibu,MID-SIZE,1.5,4,AV,X,18.5,3897,105,250.0,7.5,174
CHEVROLET,Malibu,MID-SIZE,1.5,4,AV,X,13.0,4215,140,305.0,7.5,174
CHEVROLET,Malibu,MID-SIZE,1.5,4,AV,X,18.2,3155,95,200.0,7.5,174
CHEVROLET,Malibu,MID-SIZE,1.5,4,AV,X,15.0,3605,125,267.0,7.5,274
CHEVROLET,Malibu,MID-SIZE,2.0,4,A9,Z,12.0,3504,130,307.0,9.1,243
CHEVROLET,Malibu,MID-SIZE,2.0,4,A9,Z,15.5,3329,100,250.0,9.1,233
CHEVROLET,Malibu,MID-SIZE,2.0,4,A9,Z,13.0,3988,145,350.0,9.1,268
CHEVROLET,Malibu,MID-SIZE,2.0,4,A9,Z,17.0,3781,100,250.0,9.1,256
CHEVROLET,Malibu,MID-SIZE,2.0,4,A9,Z,18.5,3897,105,250.0,9.9,290
CHEVROLET,Malibu,MID-SIZE,2.0,4,A9,Z,18.2,3155,95,200.0,9.1,214
CHRYSLER,300,FULL-SIZE,3.6,6,A8,X,20.1,3530,77,183.0,10.3,242
CHRYSLER,300,FULL-SIZE,3.6,6,A8,X,16.1,1760,60,81.0,10.3,242
CHRYSLER,300,FULL-SIZE,5.7,8,A8,X,15.5,2264,90,140.0,12.3,289
CHRYSLER,300,FULL-SIZE,5.7,8,A8,X,20.1,3530,77,183.0,12.3,289
CHRYSLER,300,FULL-SIZE,5.7,8,A8,X,16.1,1760,60,81.0,12.3,289
DODGE,Challenger,MID-SIZE,5.7,8,M6,Z,10.0,3563,170,383.0,13.1,307
DODGE,Challenger,MID-SIZE,6.4,8,M6,Z,10.0,3563,170,383.0,13.9,325
DODGE,Charger,FULL-SIZE,3.6,6,A5,X,13.0,2370,84,135.0,11.6,271
DODGE,Charger,FULL-SIZE,3.6,6,A8,X,13.0,2370,84,135.0,10.3,242